number	number_sup	trip	trip_sup	boatname	master	tonnage	type_of_boat	built	bought	hired	yard	chamber	departure_date	departure_harbour	cape_arrival	cape_departure	cape_call	arrival_date	arrival_harbour	next_voyage	particulars
1755		1		HAASJE	Abraham van Stormen	80		1696			H	H	1697-05-01	Texel	1697-08-28	1697-09-17	true	1697-12-28	Batavia		The ship was laid up at Batavia in 1707.
1756		2		ISSELT	Elbert Fransz.	785	fluit	1691			A	A	1697-05-01	Texel	1697-08-16	1697-09-04	true	1697-10-29	Batavia	5989	
1757		3		SIRJANSLAND	Anthonie Pronk	759		1691			Z	A	1697-05-01	Texel	1697-08-26	1697-09-20	true	1697-12-13	Batavia	6013	A soldier became second-surgeon.
1758		4		WAALSTROOM	Gerrit Koper	648	pinas	1684			A	A	1697-05-01	Texel	1697-08-18	1697-09-04	true	1697-10-29	Batavia	6015	Laid up at the Cape on 27-02-1700.
1759		4		HANDBOOG	Baltus Doen	594	fluit	1687			A	H	1697-05-08	Texel	1697-09-07	1697-09-20	true	1697-11-21	Batavia	6025	
1760		2		VECHT	Hendrik Korvemaker	626	fluit	1693			A	E	1697-05-08	Texel	1697-10-05	1697-11-01	true	1698-04-08	Batavia	6033	
1761		4		MOERKAPELLE	Willem de Haze +	685	jacht? pinas?	1684			R	Z	1697-05-13	Wielingen	1697-10-15	1697-11-08	true	1698-03-16	Batavia		the sands of the river Palembang in 1703.
1762		2		OOSTERSTEIN	Michiel de Keizer	1139		1693			Z	Z	1697-05-13	Wielingen	1697-10-04	1697-11-01	true	1698-01-19	Batavia	6003	
1763		1		SCHELLAG	Dirk Blauw	290	jacht? fregat?	1696			Z	Z	1697-05-13	Wielingen	1697-09-07	1697-09-17	true	1697-12-23	Ceylon	5995	
1764		2		WIND	Theunis Danielsz.	246	jacht	1691			Z	Z	1697-05-13	Wielingen	1697-08-30	1697-09-14	true		Batavia		The ship was laid up at Batavia in 1702.
1765		1		CONCORDIA	Abraham Oudenhoorn	900		1696			D	D	1697-06-10	Goeree	1697-10-31	1697-12-05	true	1698-03-24	Batavia	6018	
1766		2		HUIS TE DIEREN	Dirk van der Hof	603	fluit	1691			A	R	1697-06-10	Goeree	1697-10-28	1697-11-25	true	1698-01-31	Batavia	6009	
1767		1		LEEUWERIK	Jakob Willemsz.	70	galjoot	1697			A	A	1697-10-30	Texel	1698-02-11	1698-02-19	true	1698-05-30	Batavia		Laid up at Batavia on 01-09-1706.
1768		1		POOL	Gerrit de Beer	276	fregat	1696			A	A	1697-11-10	Texel	1698-02-03	1698-02-21	true	1698-05-22	Ceylon		The ship was laid up at Batavia on 11-05-1706.
1769		1		BAMBEEK	Christiaan van Leeuwen	845	pinas	1696			A	A	1697-11-19	Texel	1698-04-23	1698-05-16	true	1698-07-28	Batavia	6011	
1770		1		UNIE	Jan Hendrik Smit	1080	pinas	1696			A	A	1697-12-17	Texel	1698-04-11	1698-05-04	true	1698-08-04	Batavia	6005	From 23-11 till 26-11-1697 at Duins; from 31-01 till 06-02-1698 at S. Tiago.
1771		1		KRAAIESTEIN	Jan van de Vijver	1154		1697			Z	Z	1698-02-01	Wielingen			true				The ship was wrecked three miles off the Cape on 27-05-1698.
1772		1		HARDLOPER	Gerrit Koek	272	fregat	1695			A	A	1698-04-06	Texel	1698-07-03	1698-08-02	true	1698-10-03	Ceylon		Laid up at Batavia in 1707.
1773		2		ASSENDELFT	Ameland Jansz.	816	pinas	1694			A	A	1698-05-02	Texel	1698-09-13	1698-10-07	true	1699-01-05	Ceylon	6068	
1774		3		HUIS TE LOO	Diedlof Kroes	875	pinas	1691			A	A	1698-05-02	Texel	1698-08-23	1698-09-08	true	1698-11-06	Batavia	6008	
1775		1		HUIS TE NIEUWBURG	Henk Schrik	618	hekboot? fluit?	1697			A	A	1698-05-02	Texel	1698-09-07	1698-09-24	true	1698-11-27	Batavia	6010	
1776		5		EENHOORN	Matthijs Koole	749		1683			Z	Z	1698-05-03	Wielingen	1698-09-05	1698-09-27	true	1698-12-14	Batavia		The ship was laid up at Batavia in 1706.
1777		3		DRIEBERGEN	Marten de Jeugd	616	fluit	1692			A	D	1698-05-25	Goeree	1698-09-03	1698-09-24	true	1698-11-22	Batavia	6007	From 01-07 till 03-07-1698 at Conbay.
1778		2		JERUSALEM	Abraham Boon	622	fluit	1693			R	R	1698-05-25	Goeree	1698-09-18	1698-10-07	true	1699-01-09	Batavia	6042	
1779		2		VRIJBURG	Isaak Lambrechtsen	784		1695			Z	Z	1698-06-19	Wielingen	1698-10-15	1698-11-03	true	1699-04-25	Batavia	6075	From 01-02- till 11-04-1699 in the Mauritius Bay.
1780		2		BERKENRODE	Leendert Klaasz. Broek	635	fluit	1694			A	H	1698-09-22	Texel	1699-02-24	1699-03-24	true	1699-06-15	Batavia	6030	From 10-11 till 16-11-1698 at S. Tiago.
1781		2		EIKELENBURG	Herman Blokhuizen	380	pinas?	1693			A	A	1698-09-22	Texel	1699-01-30	1699-02-08	true	1699-04-25	Batavia	6035	At S. Tiago from 10-11 till 16-11-1698.
1782		2		STAD KEULEN	Alexander Simons	1089	pinas	1693			A	A	1698-09-22	Texel	1699-01-23	1699-02-07	true	1699-04-24	Batavia	6046	From 10-11 till 16-11-1698 at S. Tiago.
1783		3		DRIE KRONEN	Jan Speelman	1075	pinas	1693			A	A	1698-09-22	Texel	1699-01-23	1699-02-07	true	1699-04-25	Batavia	6037	From 10-11 till 16-11-1698 at S. Tiago.
1784		2		HUIS OVERRIJP	Jan Abrahamsz. van Oldenhove	436	fluit	1693			H	A	1698-09-22	Texel	1699-02-20	1699-05-02	true	1699-11-05	Batavia	6027	
1785		1		VENHUIZEN	Klaas Kompas	250	fluit	1697			E	E	1698-09-22	Texel	1699-02-12	1699-02-27	true	1699-06-04	Batavia	6039	One child was born during the voyage.
1786		3		SPIEGEL	Jan Gerritsz. van Bordeaux	831	pinas	1693			A	A	1698-09-22	Texel	1699-02-24	1699-03-20	true	1699-06-25	Ceylon	6029	
1787		1		PETER EN PAUL	Klaas Dekker	278	fregat	1697			A	A	1698-10-24	Texel	1699-03-08	1699-07-03	true		Batavia	6057	
1788		2		KATTENDIJK	Jan Naalhout	759		1694			Z	Z	1698-12-10	Wielingen	1699-04-05	1699-05-01	true	1699-07-01	Batavia	6020	
1789		1		ABBEKERK	Jasper Huid	242	fluit	1698			H	H	1699-02-01	Texel	1699-05-19	1699-06-12	true	1699-08-30	Batavia	6077	
1790		4		BERKEL	Jakob Kuil	280	fluit	1689			D	A	1699-02-01	Texel	1699-05-19		true	1699-05-19	The Cape	6017	in order to take over the cargo of the NIEUWLAND (6012).
1791		3		GENT	Dirk Verdoes	816		1693			E	A	1699-02-01	Texel	1699-04-28	1699-05-28	true	1699-07-29	Batavia	6019	One stowaway deserted at the Cape.
1792		2		GRIMMESTEIN	Abraham Zeeman	759		1696			A	A	1699-02-01	Texel	1699-05-14	1699-06-02	true	1699-08-06	Ceylon	6028	
1793		3		ISSELT	Simon Langendam	785	fluit	1691			A	A	1699-02-01	Texel	1699-05-02	1699-05-28	true	1699-07-19	Ceylon		The ship was laid up at Batavia in 1706.
1794		3		NICHTEVECHT	Elbert Fransz.	825	pinas	1692			A	A	1699-02-01	Texel			true	1699-06-29	Batavia	6022	The ship did not call at the Cape because of a storm.
1795		2		OVERNES	Gerrit Kolaart	616	fluit	1696			A	A	1699-02-01	Texel	1699-05-14	1699-06-02	true	1699-08-25	Batavia	6031	From 12-03 till 15-03-1699 at S. Tiago.
1796		2		ROSKAM	Fokel Hendriksz.	90	hoeker	1693			A	A	1699-02-01	Texel	1699-05-14	1699-06-02	true	1699-07-24	Ceylon		The ship was laid up at Ceylon in 1705.
1797		3		WATERMAN	Schon	588	fluit	1691			E	E	1699-02-01	Texel	1699-05-19	1699-06-11	true	1699-08-26	Batavia		The ship set out for Persia, in August 1702 but it never returned.
1798		5		LANDS WELVAREN	Adriaan Palestein	1145	pinas	1685			A	A	1699-02-01	Texel	1699-05-11	1699-06-02	true	1699-08-02	Batavia	6024	
1799		2		BEIEREN	Melchior de Vos	832		1692			D	D	1699-02-02	Goeree	1699-06-05	1699-06-24	true	1699-08-28	Batavia	6050	From 14-02 till 11-03-1699 at Plymouth: 1 seafarer ran away.
1800		2		DONKERVLIET	Steven Scheiteruit	794		1696			Z	Z	1699-02-02	Wielingen	1699-07-20	1699-08-22	true	1699-11-01	Batavia	6054	From 12-02 till 12-03-1699 at Wight.
1801		3		HENNETJE	Jasper Hageneveld	90	fluit	1688			R	Z	1699-02-02	Wielingen	1699-06-18	1699-07-16	true	1699-09-30	Ceylon		The ship laid up at Batavia in 1705.
1802		1		WESTHOVEN	Kornelis Gillisz.	776		1698			Z	Z	1699-02-02	Wielingen	1699-06-16	1699-07-06	true	1699-09-08	Batavia	6104	
1803		3		MERESTEIN	Thomas van Willigen	826	pinas	1693			A	R	1699-04-15	Goeree	1699-08-03	1699-08-30	true	1699-10-29	Batavia	6026	
1804		4		BELOIS	Jan Verbrugge	506	fluit	1687			D	A	1699-05-09	Texel	1699-10-27	1699-11-14	true	1700-01-27	Batavia	6058	
1805		1		HUIS TE BIJWEG	Kornelis de Vlaming	392	fluit		1699		A	A	1699-05-09	Texel	1699-10-21	1699-11-11	true	1700-01-28	Batavia	6040	
1806		4		NEDERLAND	Leendert van Dijk	1173	pinas	1687			A	A	1699-05-09	Texel	1699-10-24	1699-11-20	true	1700-01-25	Batavia		The ship was laid up at Batavia on 09-09-1706.
1807		1		PEPERBOOM	Bogaard	553	fluit		1699		A	A	1699-05-09	Texel	1699-10-24	1699-11-11	true	1700-01-28	Batavia	6043	
1808		3		IJSSELMONDE	Pieter Bogaard	832		1693			R	Z	1699-05-09	Wielingen	1699-10-16	1699-11-09	true	1700-02-04	Batavia	6052	The ship was on 19-06-1699 at Guinea.
1809		5		SION	Hendrik Henderson	740		1686			D	Z	1699-05-19	Wielingen	1699-10-27	1699-11-20	true	1700-02-22	Ceylon	6067	
1810		1		LIEFDE	Kornelis Koleman	1009	pinas	1698			A	A	1699-05-21	Texel	1699-08-28	1699-09-15	true	1699-11-13	Batavia	6044	
1811		2		BOOR	Jan van Wijk	192	fluit	1695			A	A	1699-07-17	Texel	1699-11-23	1699-12-10	true	1700-02-12	Batavia	6049	From 15-08 till 29-08-1699 at S. Tiago.
1812		4		LEK	Jan Plak	762	pinas	1686			A	A	1699-10-08	Texel	1700-02-08		true	1700-02-08	The Cape	6036	condition.
1813		1		OEGSTGEEST	Jan de Wit	576	hekboot	1699			A	A	1699-10-08	Texel	1700-02-08	1700-03-24	true	1700-06-10	Batavia	6074	
1814		2		MATROOS	Jakob Willemsz.	288	fregat	1692			A	A	1699-12-03	Texel	1700-03-19	1700-03-26	true	1700-05-25	Batavia	2	Seafarers ran away at Plymouth. The ship laid up at Batavia in 1705.
1815		1		TAXISBOOMPJE	Kornelis Valk	614		1699			D	D	1699-12-13	Maas	1700-04-17	1700-05-16	true	1700-07-06	Ceylon	6134	The ship stayed from 19-12-1699 till 26-12-1699 in the Maas.
1816		1		FLORA	Pieter Lubkes	554	fluit	1699			A	A	1699-12-26	Texel	1700-04-07	1700-06-07	true	1700-08-14	Batavia	6067	
1817		1		HORSTENDAAL	Marten van de Vijver	688	pinas	1699			A	A	1699-12-26	Texel	1700-05-11	1700-05-28	true	1700-07-17	Ceylon	6051	
1818		2		HUIS TE NIEUWBURG	Jakob Onkruid	618	fluit? hekboot?	1697			A	A	1699-12-26	Texel	1700-04-17	1700-04-28	true	1700-07-12	Batavia	6084	
1819		3		OOSTERSTEIN	Usbrand Douwesz.	1139		1693			Z	A	1699-12-26	Texel	1700-04-11	1700-05-09	true	1700-07-05	Batavia	6038	One child was born during the voyage.
1820		1		THEEBOOM	Gerrit Gerritsz.	526	fluit	1699			A	A	1699-12-26	Texel	1700-04-06	1700-05-14	true	1700-07-14	Batavia	6056	
1821		2		UNIE	Jan Vrelant	1080	pinas	1696			A	A	1699-12-26	Texel	1700-04-07	1700-04-27	true	1700-07-05	Batavia		
1822		1		ZOELEN	Kornelis Boesem	656	fluit	1699			R	R	1699-12-26	Goeree	1700-04-07	1700-04-21	true	1700-07-05	Batavia		
1823		2		DOMBURG	Kornelis Jorissen	759		1690			Z	Z	1700-02-22	Wielingen	1700-06-11	1700-06-24	true	1700-08-27	Batavia		
1824		1		ELLEMEET	Dirk Blauw	670		1699			Z	Z	1700-02-22	Wielingen	1700-06-11	1700-06-24	true	1700-09-08	Batavia		
1825		3		KARTHAGO	Pieter Donker	759		1692			Z	Z	1700-02-22	Wielingen	1700-06-05	1700-06-17	true	1700-08-14	Batavia		
1826		2		SCHELLAG	Jakob de la Palma	290	jacht	1696			Z	Z	1700-02-22	Wielingen	1700-06-13	1700-07-21	true	1700-09-10	Batavia		
1827		3		SCHOONDIJK	Willem van Texel	759		1688			Z	E	1700-02-22	Texel	1700-06-05	1700-06-24	true	1700-08-28	Batavia		
1828		2		ZANDLOPER	Kornelis van de Kriek	244	fluit	1695			D	Z	1700-02-22	Wielingen	1700-06-17	1700-07-21	true	1700-09-20	Ceylon		
1829		2		BAMBEEK	Evert Doedes	845	pinas	1696			A	A	1700-04-22	Texel	1700-08-31	1700-09-21	true	1700-11-19	Batavia		
1830		3		HUIS TE DIEREN	Kornelis Kool	603	fluit	1691			A	A	1700-04-22	Texel	1700-08-31	1700-09-21	true	1700-11-27	Batavia		
1831		1		HAAK	Sijbrand Visser	550	fluit	1699			E	E	1700-04-22	Texel	1700-08-27	1700-09-12	true	1700-11-18	Batavia		
1832		3		HOF VAN ILPENDAM	Jan Wijnands	700	pinas	1691			A	H	1700-04-22	Texel	1700-12-27	1701-01-14	true	1701-03-24	Batavia		
1833		3		REIGERSDAAL	Marten de Jeugd	818	pinas	1691			A	D	1700-05-02	Goeree	1700-08-22	1700-09-12	true	1700-11-14	Batavia		
1834		1		GENERALE VREDE	Harman Voet	1008	pinas	1699			A	A	1700-05-02	Texel	1700-08-31	1700-09-21	true	1700-12-08	Batavia		
1835		4		HUIS TE LOO	Jan de Wersijn	875	pinas	1691			A	Z	1700-05-05	Wielingen	1700-08-31	1700-09-21	true	1700-11-29	Batavia	6083	One child was born during the voyage.
1836		3		VOSMAAR	Hendrik den Exter	759		1691			Z	Z	1700-05-05	Wielingen	1700-08-26	1700-09-12	true	1700-11-08	Batavia	6048	
1837		1		ZUIDPOOL	Pieter Hendriksz. Klein	130	gajoot	1700			A	A	1700-07-08	Texel	1700-11-05	1700-11-11	true	1701-04-12	Gamron		ZUIDPOOL went to Batavia; in 1708 arrival at India. Laid up at Batavia in 1715.
1838		3		BRANDENBURG	Christiaan van Leeuwen	817		1690			A	A	1700-09-29	Texel	1701-01-25	1701-02-15	true	1701-05-07	Batavia	6073	
1839		1		DIEMEN	Hendrik Mondiger	596	fluit	1700			A	A	1700-09-29	Texel	1701-01-25	1700-02-15	true	1701-06-23	Batavia	6097	One soldier became a seafarer.
1840		4		NICHTEVECHT	Jakob Kuil	825	pinas	1692			A	A	1700-09-29	Texel	1701-01-26	1701-02-15	true	1701-05-14	Batavia	6064	Tiago.
1841		2		NOORDGOUW	Volkert Schouten	280	fregat	1694			Z	A	1700-09-29	Texel	1700-12-29		true	1700-12-29	The Cape	6117	
1842		1		POPKENSBURG	Servaas Goudswaard	804		1699			Z	Z	1700-10-28	Wielingen	1701-04-18	1701-05-10	true	1701-07-20	Batavia	6162	From 31-10 till 14-11-1700 at Duins; 1 seafarer deserted. 2 Seafarers ran away at the Cape.
1843		2		BEKESTEIN	de Klunder	324	pinas	1694			A	A	1700-12-15	Texel	1701-04-12	1701-04-30	true	1701-07-09	Batavia		According to Coolhaas VI, 473 this ship was laid up at Batavia in 1707.
1844		1		BEVERWIJK	Adriaan Palestein	836		1700			A	A	1700-12-15	Texel	1701-05-06	1701-05-31	true	1701-08-04	Batavia	6145	One soldier became a seafarer.
1845		3		DRECHTERLAND	Meindert de Boer	756		1688			E	E	1700-12-15	Texel	1701-04-13	1701-05-09	true	1701-07-10	Batavia	6059	
1846		3		KATTENDIJK	Jakob Broek	759		1694			Z	A	1700-12-15	Texel	1701-04-05	1701-04-27	true	1701-06-26	Batavia	6062	
1847		5		LEK	Klaas Schacht	762	pinas	1686			A	A	1700-12-15	Texel	1701-04-04	1701-04-20	true	1701-06-24	Ceylon	6071	
1848		1		MOLENWERF	Pieter Florisz. Blom +	554	fluit	1700			H	H	1700-12-15	Texel	1701-04-12	1701-05-09	true	1701-07-23	Batavia	6063	The master died during the voyage.
1849		3		OVERNES	Herman Blokhuizen	616	fluit	1696			A	A	1700-12-15	Texel	1701-04-13	1701-04-30	true	1701-07-06	Batavia	6065	
1850		5		SPIERDIJK	Gerrit de Boer	606	fluit? hekboot?	1685			A	A	1700-12-15	Texel	1701-04-11	1701-05-31	true	1701-08-04	Batavia		The ship was laid up at Batavia in 1708.
1851		4		DRIEBERGEN	Dirk Krijne	616	fluit	1692			A	R	1700-12-20	Goeree	1701-06-25	1701-07-12	true	1701-10-09	Batavia	6060	Portsmouth; 3 soldiers became seafarers. One child was born during the voyage.
1852		4		SIRJANSLAND	Gerrit Hendriksz.	759		1691			Z	Z	1700-12-21	Wielingen	1701-06-24	1701-07-10	true	1701-09-16	Batavia	6102	Back at Goeree: from 30-12-1700 till 18-01-1701. From 21-01 till 08-03-1701 at Duins.
1853		5		BERKEL	Jan Gideons	280	fluit	1689			D	Z	1701-01-18	Wielingen	1701-06-23	1701-07-10	true	1701-09-18	Ceylon	6069	The ship stayed till 03-03-1701 in England.
1854		3		EIKELENBURG	Gerrit Hittens	320	pinas	1693			A	Z	1701-01-18	Wielingen	1701-06-23	1701-07-23	true	1701-10-05	Batavia		From 23-01 till 07-03-1701 at Portsmouth and from 30-03 till 04-04-1701 at S. Tiago.
1855		1		GOUDEN PHOENIX	Arie Taats	770		1700			Z	Z	1701-01-18	Wielingen	1701-06-23	1701-07-10	true	1701-09-16	Batavia		From 21-01 till 08-03-1701 at Wight; on 13-01-1705 at the coast of Coromandel taken by 4 French ships.
1856		2		CONCORDIA	Jan Munkhoven	900		1696			D	Z	1701-04-12	Wielingen	1701-08-19	1701-09-05	true	1701-11-20	Batavia	6107	One seafarer deserted at the Cape.
1857		4		MIJDRECHT	Jan Jongerens	597	pinas	1688			A	R	1701-04-13	Goeree	1701-08-05	1701-09-05	true	1701-11-30	Batavia		On 17-04-1701 second departure. Laid up at Batavia in 1707.
1858		5		VOORSCHOTEN	Gijsbert Martensz. Welgevaren	558	fluit	1684			D	D	1701-04-13	Goeree	1701-08-27	1701-09-26	true	1702-01-08	Batavia		The ship was laid up at Batavia on 09-11-1706.
1859		3		BERKENRODE	Jan Abraham van Oldenhove	635	fluit	1694			A	A	1701-04-25	Texel	1701-12-13	1702-01-06	true	1702-05-04	Batavia	6095	From 13-08 till 22-08-1701 at Cape Lopez; from 11-10 till 19-10-1701 at S. Paulo.
1860		5		HANDBOOG	Klaas Goudenberg	594	fluit	1687			A	H	1701-04-25	Texel	1701-09-19	1701-10-12	true	1702-01-08	Batavia		From 23-07 till 31-07-1701 at Annabon. Laid up at Batavia in 1706.
1861		3		HUIS OVERRIJP	Willem Knol	436	fluit	1693			H	E	1701-04-25	Texel	1701-12-13	1702-01-06	true	1702-05-24	Batavia	6092	The ship stayed at S. Paulo from 11-10 till 19-10-1701.
1862		4		SPIEGEL	Abraham Zeeman	831	pinas	1693			A	A	1701-04-25	Texel	1701-10-04	1701-10-25	true	1702-01-22	Batavia	6087	From 23-07 till 31-07-1701 at Annabon.
1863		6		LANDS WELVAREN	Adolf Hage	1145	pinas	1685			A	A	1701-04-25	Texel	1701-10-04	1701-10-25	true	1702-01-12	Batavia	6089	The ship stayed at Annabon from 23-07 till 31-07-1701.
1864		3		GRIMMESTEIN	Adriaan Tilburg	759		1696			A	Z	1701-05-03	Wielingen	1701-09-24	1701-10-19	true	1702-02-05	Batavia	6081	From 05-05 till 14-05-1701 at Wight.
1865		2		GEELVINK	Klaas Maas	380	fregat? jacht?	1696			A	A	1701-06-05	Texel	1701-09-10	1701-10-25	true	1701-12-22	Batavia	6078	
1866		1		DEN BERG	Aldert Koops	836		1701			A	A	1701-10-04	Texel	1702-04-15	1702-05-02	true	1702-07-16	Batavia	6123	On 01-04-1702 at Dasseneiland.
1867		1		'T GHIJN	Fokel Hendriksz.	810		1701			A	A	1701-10-04	Texel	1702-08-04	1702-08-24	true	1702-11-28	Batavia	6146	The ship lost the main mast on 24-11-1701 and took refuge at Milfort till 23-04-1702. 35 Seafarers and 11 soldiers ran away; 31 seafarers and 17 soldiers signed on.
1868		2		LIEFDE	Anthonie Pronk	1009	pinas	1698			A	A	1701-10-04	Texel	1702-02-26	1702-03-30	true	1702-06-25	Batavia	6082	
1869		4		MERESTEIN	Jan Subbing	826	pinas	1693			A	A	1701-10-04	Texel			true				there were 99 survivors; the cargo was lost.
1870		2		THEEBOOM	David Kodde	526	fluit	1699			A	A	1701-10-04	Texel	1702-04-04	1702-04-21	true	1702-06-28	Batavia	6093	
1871		4		GENT	Libertus Boon	816		1693			E	Z	1701-11-04	Wielingen	1702-03-24	1702-04-08	true	1702-06-21	Batavia	6080	From 05-11 till 08-11-1701 back at the Wielingen.
1872		1		BODE	Jan Larous	172		1701			A	A	1701-12-21	Texel	1702-05-14	1702-08-24	true	1702-10-29	Ceylon		The master might also have been called Leroux (6100). On 14-01-1707 taken by the pirate `Cangie Angrie'.
1873		2		HUIS TE BIJWEG	Herman Stellingwerf	392	fluit	1699			A	A	1701-12-21	Texel	1702-05-16	1702-06-24	true	1702-09-05	Batavia	6090	
1874		3		DONKERVLIET	Justinus van Zand	794		1696			Z	D	1701-12-21	Goeree	1702-06-01	1702-06-24	true	1702-09-05	Batavia	6098	The ship stayed from 27-12-1701 till 15-01-1702 at Duins.
1875		2		HAAK	Baltus Doen +	550	fluit	1699			E	H	1701-12-21	Texel	1702-05-16	1702-06-02	true	1702-08-06	Batavia	6100	The master Baltus Doen died during the voyage.
1876		1		HUIS TE HEMERT	Thomas du Bois	612	fluit	1701			A	A	1701-12-21	Texel	1702-04-22	1702-05-15	true	1702-08-24	Batavia	6110	
1877		2		HORSTENDAAL	Jan de Rooy	688	pinas	1699			A	A	1701-12-21	Texel	1702-04-20	1702-05-09	true	1702-07-21	Ceylon	6091	
1878		1		KIEFHOEK	Robbert de Groot	832		1701			R	R	1701-12-21	Goeree	1702-05-11	1702-06-02	true	1702-07-28	Batavia	6126	From 01-01 till 15-01-1702 at Duins.
1879		4		REIGERSDAAL	Jakob Zalm	818	pinas	1691			A	A	1701-12-21	Texel	1702-04-13	1702-05-02	true	1702-07-10	Batavia	6086	6 Seafarers ran away at the Cape.
1880		2		VENHUIZEN	Dirk de Reus	250	fluit	1697			E	E	1701-12-21	Texel	1702-06-06	1702-06-25	true	1702-09-05	Batavia	6122	One child was born during the voyage.
1881		4		VOSMAAR	Pieter Muis	759		1691			Z	A	1701-12-21	Texel	1702-07-26	1702-08-08	true	1702-10-13	Batavia	6088	From 11-01 till 26-04-1702 at Plymouth; 17 seafarers ran away.
1882		3		DOMBURG	Matthijs de Geus	759		1690			Z	Z	1701-01-15	Wielingen	1702-06-17	1702-07-07	true	1702-09-08	Batavia	6079	The ship stayed from 30-01 till 05-03-1702 at Wight.
1883		4		OOSTERSTEIN	Jan Geens	1139		1693			Z	Z	1702-01-15	Wielingen	1702-06-12	1702-07-07	true	1702-09-09	Batavia	6085	At Torbay from 26-01 till 05-03-1702.
1884		1		ZUIDDORP	Kornelis Jorissen	1152		1701			Z	Z	1702-01-15	Wielingen	1702-06-12	1702-07-07	true	1702-10-06	Batavia	6140	The ship stayed from 26-01 till 05-03-1702 at Torbay; 7 seafarers and 1 soldier ran away.
1885		2		PEPERBOOM	Jan Leeuwe	553	fluit	1699			A	Z	1702-03-19	Wielingen	1702-06-29	1702-07-20	true	1702-10-06	Batavia		The ship was laid up at Batavia in 1709.
1886		1		WATERINGEN	Jan Lookman	626	jacht	1701			D	D	1702-04-15	Goeree	1702-08-18	1702-09-02	true	1702-11-22	Batavia	6158	
1887		4		IJSSELMONDE	Jakob Helma	832		1693			R	A	1702-04-15	Texel	1702-08-26	1702-10-04	true	1702-12-09	Batavia	6106	(1919) on 16-05-1702.
1888		3		JERUSALEM	Hendrik Bichon	622	fluit	1693			R	R	1702-04-25	Goeree	1702-09-17	1702-10-14	true	1703-01-14	Batavia	6115	
1889		3		STAD KEULEN	Dekker	1089	pinas	1693			A	A	1702-04-25	Texel	1702-08-30	1702-10-04	true	1702-12-09	Batavia		The ship was laid up at Batavia in 1707.
1890		1		BUISJE	Paulus Visser	160				1701	A	A	1702-04-27	Texel	1702-09-18	1702-10-04	true	1702-12-16	Batavia		Departure from Plymouth on 30-05-1702. Laid up at Batavia in 1707.
1891		4		SCHOONDIJK	Salig Sijbrands	759		1688			Z	H	1702-05-06	Texel	1702-08-27	1702-09-14	true	1702-11-13	Batavia		According to Coolhaas VI, 473 the SCHOONDIJK was laid up in 1707.
1892		3		BEIEREN	Jan Heuld	832		1692			D	Z	1702-05-07	Wielingen	1702-09-30	1702-11-02	true	1703-02-26	Batavia		
1893		1		POSTLOPER	Kornelis Jongeboer	130		1701			A	A	1702-05-07		1702-09-30		true	1702-09-30	The Cape		The ship was captured on 13-03-1703.
1894		1		SUIKERMOLEN	Klaas van Convent	720	fluit	1701			Z	Z	1702-05-07	Wielingen	1702-09-21	1702-10-14	true	1703-01-15	Batavia	6096	
1895		1		TER EEM	Haye Jansz.	262		1701			A	A	1702-05-15	Texel	1702-08-20	1702-08-31	true	1702-11-23	Ceylon		
1896		1		ZANDHORST	Jakob de Boer	520	fluit	1701			A	A	1702-05-15	Texel	1702-09-17	1702-10-14	true	1702-12-21	Batavia	6094	
1897		1		ZEGEN	Krijn Bollaart	180			1702		A	A	1702-05-15	Texel	1702-09-17	1702-10-04	true				The ship was captured on 13-03-1703.
1898		1		MERCURIUS	Theodorus Tijd	170	galjoot	1700			A	A	1702-07-03	Texel	1703-01-13	1703-01-31	true	1703-05-30	Batavia		From 12-07 till 18-07-1702 at Hitland and from 28-10 till 29-10-1702 at Guinea.
1899		4		BRANDENBURG	Jakob Willemsz.	817		1690			A	A	1702-10-02	Texel	1703-01-26	1703-02-15	true	1703-06-02	Batavia	6114	
1900		1		BEVERWAART	Jakob Helma	760		1702			A	A	1702-10-08	Texel	1703-03-12	1703-03-30	true	1703-06-10	Batavia	6124	
1901		1		GANSENHOF	Pieter Oostendorp	640	fluit	1702			A	A	1702-10-08	Texel	1703-01-29	1703-02-15	true	1703-06-03	Batavia	6109	
1902		3		VECHT	Arnoldus van der Straten	626	fluit	1693			A	D	1703-01-13	Goeree	1703-05-04	1703-05-20	true	1703-08-05	Batavia		The ship stayed from 25-01 till 28-01-1703 at Portsmouth. Laid up and sold at Batavia in 1709.
1903		4		DRECHTERLAND	Willem van Texel	756		1688			E	E	1703-01-22	Texel	1703-06-20	1703-07-27	true	1703-09-30	Batavia		The ship was laid up at Batavia on 10-06-1706.
1904		5		DRIEBERGEN	Jakob Regenboog	616	fluit	1692			A	A	1703-01-22	Texel	1703-05-09	1703-05-26	true	1703-08-05	Batavia	6108	
1905		2		FLORA	Jan Schaaf	554	fluit	1699			A	A	1703-01-22	Texel	1703-05-11	1703-07-16	true	1703-09-12	Batavia	6099	
1906		2		MOLENWERF	Dirk Danielsz. Bent	594	fluit	1700			H	H	1703-01-22	Texel	1703-05-18	1703-05-30	true	1703-08-10	Batavia		
1907		4		OVERNES	Herman de Marre	616	fluit	1696			A	A	1703-01-22	Texel	1703-05-09	1703-05-26	true	1703-07-22	Batavia	6127	
