Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,12/11/09,12/08/09,"Community Asphalt Corp., Fort Lauderdale, FL 33324",Worker was backed over on highway construction site.
FY 2010,12/11/09,12/08/09,"Mountain Comprehensive Health, Whitesburg, KY* 41858",Worker was fatally shot at a Perry County Clinic.
FY 2010,12/11/09,12/09/09,"Apria Healthcare, Inc., Daytona Beach, FL 32114",Worker was delivering medical products and was run over by his own truck.
FY 2010,12/11/09,12/09/09,"International Paper, Modesto, CA* 95956",Worker walked into cafeteria when he had a heart attack. CPR was initiated. Worker was taken to the hospital where he was declared dead.
FY 2010,12/11/09,12/09/09,"J Nobile Sinns Plumbing Co. Inc., Bakersfield, CA* 93313",Possible heart attack.
FY 2010,12/11/09,12/09/09,"Southern Custom Exhibits, Hardeeville, SC 29927",Worker was in the attic of a center under construction and was electrocuted.
FY 2010,12/11/09,12/10/09,"International Chimney Corporation, Dunkirk, NY 14231",Worker was pinned between the bed of a dump truck and the cab/chassis.
FY 2010,12/11/09,12/11/09,"BJ's Wholesale Club, Inc., New Castle, DE 19720",Worker was walking from the parking lot to the entrance and was run over by a delivery truck.
FY 2010,12/11/09,12/11/09,"Land O'Lakes, Inc., Wooster, OH 44691",Worker was shoveling corn into a bucket of a bobcat and was found unresponsive.
FY 2010,12/18/09,11/25/09,"Arlington County Department of Environmental Services, Arlington, VA",Worker was electrocuted after contracting an overhead high-voltage line with a portable light tower while working at a water main repair site.
FY 2010,12/18/09,12/08/09,"7-UP Re Bottling Company, Redlands, CA 92373","Worker was found on floor unconscious, no witness. (Inspection planned)"
FY 2010,12/18/09,12/08/09,"Manning Masonry Inc., Williamston, NC 27892","Worker was laying paper and plastic on finished floor and stepped into a hole, falling onto the concrete floor below."
FY 2010,12/18/09,12/09/09,"Northumberland Town Highway Dept., Gansvoort, NY 12831",Worker was performing highway snow plowing duties and was involved in a collision with a train at the crossing.
FY 2010,12/18/09,12/09/09,"Robert Lee Williams, Batesville, MS 38606","Worker was installing decorative lights on a 10-12 foot tree, touched an overhead electrical line and was electrocuted."
FY 2010,12/18/09,12/10/09,"Bernard R. Huff Inc., Chesterfield, VA",Worker was struck by a backhoe during land clearing operations.
FY 2010,12/18/09,12/10/09,"Sand Hill Construction, LLC, Hudson Falls, NY 12839",Worker fell from a pump jack scaffold.
FY 2010,12/18/09,12/12/09,"Fidalgo Construction LLC, Anacortes, WA 98221",The worker was lowering a residence to meet with the shortened foundation wall. The worker was trapped and crushed between a support beam and a small section of beam stock when the structure collapsed unexpectedly.
FY 2010,12/18/09,12/12/09,"Tom's Creative Landscaping, Inc., Sugar Grove, IL 60554",Worker was cleaning a dump truck. Worker stuck his arm into salting auger and was sucked in.
FY 2010,12/18/09,12/13/09,"RES Investments, Williston, ND 58801",Worker was thawing two 3-inch valves with a propane torch on a tank trailer that exploded.
FY 2010,12/18/09,12/14/09,"Demand Communications, Inc., Montour Falls, NY 14865","Communication tower collapsed, killing worker."
FY 2010,12/18/09,12/14/09,"J & J Farms, Memphis, TX 79245",Worker was found in the receiving basket of a cotton stripper.
FY 2010,12/18/09,12/14/09,"VN Printing, Houston, TX 77002","Worker was struck by a 1,500-lb load."
FY 2010,12/18/09,12/15/09,"Gallagher's Landscaping, Chagrin Falls, OH 44023","Worker was trimming a lower branch on a tree. An upper branch worked loose and fell on him, striking his head."
FY 2010,12/18/09,12/16/09,"Casto Resources, Sissonville, WV",Worker was performing timber felling operations and was struck by a tree.
FY 2010,12/18/09,12/16/09,"Mission Open Air Market, San Antonio, TX 78221",Worker was walking to the flea market's concession and was struck by a vehicle.
FY 2010,12/18/09,12/18/09,"Cyr Construction Company, Presque Isle, ME 04769",Worker was walking and working on the second level floor. Worker was moving equipment and fell 11 feet and was struck by an electrical panel that he was moving.
FY 2010,12/18/09,12/19/09,"Coating Management Services, LLC, Denver, CO 80249",Worker fell into a 4-ft by 8-ft hole leading to a 20-ft depth reservoir and drowned.
FY 2010,12/25/09,12/17/09,"Manion & Associates, Inc., Brandenburg, KY 40108","Two workers were doing road surveying each on either side of the road. A civilian driver came over the hill and suddenly applied his brakes, even though no person, equipment, or car was in the road. This caused his car to spin off the road, running over one of the workers."
FY 2010,12/25/09,12/17/09,"TBM, Inc., Visalia, CA 93277",Worker fell from a ladder while working inside an airplane.
FY 2010,12/25/09,12/18/09,"Pro-Tech Contracting of Georgia LLC, Lawrenceville, GA","Worker was securing tarp on a roof (not wearing fall protection, although it was available) and fell 35 feet to lower level."
FY 2010,12/25/09,12/18/09,"Sonoma Compost Company, LLC, Petaluma, CA 94952",Worker was on ground when he was run over by a front loader.
FY 2010,12/25/09,12/19/09,"Auto Zone Store, Oakland, CA 94603",Security guard worker was shot three times during robbery. The assailants took his weapon.
FY 2010,12/25/09,12/20/09,"Gateco, Newbery Park, CA 91360","Worker, who is the owner, was doing electrical work and fell through the skylight. (No inspection planned)"
FY 2010,12/25/09,12/20/09,"Premier Asphalt and Masonry, Inc., Coram, NY 11727",Worker was found in vehicle with engine running; carbon monoxide over exposure.
FY 2010,12/25/09,12/21/09,"Country Club Auto Repair, Inc., Lake Charles, LA 70305",Worker was repairing a roof insulation and fell 14 feet to the ground.
FY 2010,12/25/09,12/21/09,"County of Los Angeles - Office of Education, Downey, CA 90242",Worker was found unconscious in her cubicle by a janitor. (Inspection planned)
FY 2010,12/25/09,12/21/09,"Estes Express Lines, Seekonk, MA 02771",Worker was crushed between the forklift he was operating and a concrete bollard next to the loading dock door after stepped off the forklift.
FY 2010,12/25/09,12/21/09,"Kenvelm, Inc. dba KE Beal Company, Cape Coral, FL 33919",Worker was part of a four man tree trimming crew and was in the process of cutting down a 25-foot palm tree. Worker walked into the path of the falling tree and was struck by the tree.
FY 2010,12/25/09,12/22/09,"3 ML Construction Company, Inc., Methuen, MA","Worker was installing shingles and moving planks on a roof and fell 20' 6"" from the roof to a driveway below."
FY 2010,12/25/09,12/22/09,"ANF Engineering, Inc., Redwood City, CA 94061",Worker was cleaning up on side of the road and was run over by a dump truck backing up.
FY 2010,12/25/09,12/22/09,"South Dakota Wheat Growers Association, McLaughlin, SD 57642",Worker entered a storage bin through a track side access hole that was 15 feet above ground and was engulfed by sunflower seeds.
FY 2010,12/25/09,12/23/09,"Golden Empire Concrete Products, Inc., Bakersfield, CA 93311","Worker, a Quality Control Manager, was found lying face down. (Inspection planned)"
FY 2010,12/25/09,12/23/09,"I.G. Express Electric, New Braunfels, TX 78130",Worker was being elevated from a trash box on a forklift to reach a light pole. The trash box and worker fell to the parking lot.
FY 2010,12/25/09,12/23/09,"Storage Battery Systems, Inc., Alsip, IL 60803","Worker was working beneath an elevated hydraulic platform and the platform failed, crushing the worker."
FY 2010,12/25/09,12/23/09,"Walls Contractors, Inc., Newport, AR 72112",Worker was preparing drywall to be painted and found a coil of wire hanging from the ceiling. He attempted to throw the coil over a beam in the ceiling. The coil of wires struck the beam and fell back down. The wires contacted the worker and he was electrocuted.
FY 2010,12/25/09,12/25/09,"Stark Excavation, Inc., Normal, IL 61790","Worker was operating a track hoe to remove columns lodged against a building. The columns were rigged with a nylon strap and were attached to the track hoe. While hoisting the façade from the building, the strap broke and the concrete façcade fell on the cab of the track hoe, fatally injuring the worker."
FY 2010,12/25/09,12/26/09,"Tomcat Drilling, LLC, Ames, OK 73718",Worker on a derrick board fell with the collapsing mast. The derrick board broke loose from the mast and the worker was thrown against a metal structure on the ground.
FY 2010,01/01/10,10/31/09,"The Pallet Factory Shady Dale, GA 31085","Worker was contracted to remove and install a new breaker that controlled a chipper. The disconnect was placed in the off position and the worker began disconnecting the I/O cable from the lugs inside the box, when an arc flash occurred."
FY 2010,01/01/10,12/22/09,"City of Corona, Public Works Department Corona, CA 92882","Worker, an Inspector, was walking in a crosswalk when he was hit by a city vehicle."
FY 2010,01/01/10,12/24/09,"Trinidad Bustillos San Diego, CA 92154","Worker was loading lumber onto a flatbed truck. Worker climbed the load to put spacers under forklift load. As he climbed, the lumber collapsed onto him, crushing him."
FY 2010,01/01/10,12/26/09,"Ford Motor Company, Kentucky Truck Plant Louisville, KY 40241","Worker, a maintenance employee, was removing steel beam for the installation of new assembly equipment. After one end of the beam was cut by a welder, the beam apparently slid off the forklift it was raised on and struck worker."
FY 2010,01/01/10,12/28/09,"Ajm Framers Inc. Broomfield, CO 80020","Worker was removing icicles from the roof line of a building. Worker was located in a box attached to a forklift, the box shifted, and the worker fell 30-feet to the concrete below."
FY 2010,01/01/10,12/28/09,"Douglas County Inc. Roseburg, OR 97471",Worker was caught in the unscrambler.
FY 2010,01/01/10,12/28/09,"Selbach Construction Amargosa Valley, NV 89020","Worker was in a basket of an all-terrain forklift at 40 feet, when it tipped over."
FY 2010,01/01/10,12/28/09,"SMM Business Corp. dba Tedes Chi Food Shop Jamaica Plein, MA 02130",Worker was shot by an armed robber.
FY 2010,01/01/10,12/29/09,"Burlington Northern Santa FE Railroad Fridley, MN 55421",Worker was killed when a rail car jumped its tracks and pinned him against a building.
FY 2010,01/01/10,12/29/09,"U.S. Postal Service Bethlehem, CT 06751","Worker was driving a postal service truck on a town road and a tree fell, striking the truck."
FY 2010,01/01/10,12/29/09,"USF Holland, Inc. Rock Island, IL 61201-7314","Worker was at a trucking dock, unloading one truck and loading another. While parked at the dock, his truck caught fire; worker died in the fire."
FY 2010,01/01/10,12/30/09,"America Granite & Marble Concepts Solon, OH 44139","Worker was unloading granite slabs from a truck, the weight shifted. The worker was crushed by a slab."
FY 2010,01/01/10,12/30/09,"Dixie Crane Service, Inc. dba Dixie Erectors Mableton, GA 30126","Worker was working on an I-beam 20-feet above ground when another I-beam above came loose and fell, crushing him between the two I-beams."
FY 2010,01/01/10,12/31/09,"Scott Company Marysville, OH 43040",Worker in the process area was found under a freight elevator.
FY 2010,01/08/10,11/07/09,"Grady Lee Nicholson Winston-Salem, NC 27051","The worker was digging post holes with a tractor auger and his arm and clothing were caught in the drive shaft. The shaft mangled his arm and his clothing wrapped around his neck, strangling him."
FY 2010,01/08/10,11/10/09,"Strata Networks Roosevelt, UT 84066",Worker was installing a box in a residential yard when he was struck by a vehicle that was operated by a drunk driver. (Inspection Planned)
FY 2010,01/08/10,11/25/09,"Consolidated Waste Industries, Inc. Clinton, MD 20735",Worker was backed over by a garbage truck.
FY 2010,01/08/10,12/09/09,"Anderson & Shah Roofing, Inc. of Florida Clearwater, FL 33761","Worker was climbing a ladder and fell backwards 6 to 7-feet to the ground, striking his head on the concrete floor."
FY 2010,01/08/10,12/18/09,"Gabe's Services, Inc. Rockville, MD 02850",Worker was run over by a roll-off trash truck.
FY 2010,01/08/10,12/21/09,"Building For You Brentwood, TN 37027","Worker was working on the roof when he fell. He was taken to the hospital, where he passed away on 12/24/2009."
FY 2010,01/08/10,12/22/09,"Schott Gemtron Corporation Sweetwater, TN 37847",Worker was working with glass product when glass struck worker in the neck.
FY 2010,01/08/10,12/23/09,"Sugar Hill Farm Fairfield, VT 05455",Machine guarding was removed from the Houle Alley Scraper for maintenance and not reinstalled after servicing. Worker was caught in moving machinery and suffered fatal injuries.
FY 2010,01/08/10,12/24/09,"Neill Grading and Construction Company, Inc. Hickory, NC 28603","Worker was in a trench installing 8-inch pipes for a new sewer line. As another worker operated the excavator, he noticed the worker covered waist deep in dirt. After 20 minutes the worker was removed from the trench and transported to the hospital where he died."
FY 2010,01/08/10,12/27/09,"Moran Towing Corp. Secaucas, NJ 07094",Worker was crushed by a cable after being pulled into a motorized capstan.
FY 2010,01/08/10,12/28/09,"Gladhill Tractor Frederick, MD 21703",Worker was crushed by the boom of a skid loader while performing maintenance.
FY 2010,01/08/10,12/30/09,"Fab Steel Inc. Lexington, KY 40511","Worker's death believed related to long-time exposure to chemicals used in painting operations. Worker used paint, mineral spirits, and xylene. Worker passed away at his residence. (Inspection planned)"
FY 2010,01/08/10,12/31/09,"Golden Star Market Pittsburg, CA 94565",The worker was handing a gun to a co-worker when the gun accidentally fired and shot the worker in the face.
FY 2010,01/08/10,12/31/09,"Thundercloud Ranch LLC Scottsdale, AZ 85262",A 78-yr old ranch worker died while supervising the operation of a powered auger. The event is described as an amputation.
FY 2010,01/08/10,01/01/10,"Forrest Drilling Company, LLC Bethany, OK 73008",Worker was resting in a recliner in his trailer when he was struck by a drilling pipe stand that fell from a derrick.
FY 2010,01/08/10,01/02/10,"Telgent EMS L.L.C. Havana, FL 32333","Worker was cutting a 55-gallon steel drum with an acetylene torch to make it a burn barrel. The barrel was not vented, and the isopropyl alcohol at the bottom of the barrel exploded from the top, dousing the worker, and engulfing him in flames."
FY 2010,01/08/10,01/04/10,"Akal, Security, Lloyd D. George Federal Courthouse Las Vegas, NV 89101","A gunman entered the front doors of the courthouse and shot the worker, a Court Security Officer, knocking him to the ground and killing him."
FY 2010,01/08/10,01/04/10,"Cowen Truck Line, Inc. Perry, FL 32348",Worker was struck and crushed by a truck trailer that was backing up.
FY 2010,01/08/10,01/04/10,"Golden West Marble, Inc. Valencia, CA 91355","The worker, president/owner of the company, was pinned by 5 sheets of granite which crushed his chest."
FY 2010,01/08/10,01/04/10,"Grove US, LLC Shady Grove, PA 17256",Worker was squatting down on the deck of a crane to install the bolts on an oil cooler and fell 6-feet to the concrete floor.
FY 2010,01/08/10,01/04/10,"Sterling Transportation East Liverpool, OH 44432","Worker, during the loading/unloading process of calcium fluoride, was found unresponsive on top of the tanker."
FY 2010,01/08/10,01/05/10,"Bully Bros LLC Vidor, TX 77662","Worker was lowering the dump bed of a dump trailer, which was stuck in the raised position. Worker entered beneath the upraised bed to rock the ram into position to lower the bed. The ram dislodged, causing the bed to fall. The bed struck and crushed the upper body of the worker."
FY 2010,01/08/10,01/05/10,"Loveland Electric, Inc. Jupiter, FL 33458","Worker working from a ladder, cutting a pipe, lost his balance and fell to the ground below hitting his head against the side wall."
FY 2010,01/08/10,01/06/10,"Chesapeake Energy Barksdale AFB, LA 71110","Worker was working on the dump valve flange and 3"" line that led to a welded ""T"" of a high pressure separator when a fire/explosion occurred."
FY 2010,01/08/10,01/06/10,"DJ Drilling and Blasting Inc. Lavergne, TN 27086",Worker was moving a drill and contacted an overhead powerline.
FY 2010,01/08/10,01/06/10,"Edaleen Dairy LLC Lynden, WA 98264",Worker was preparing for herd health and was shutting the east overhead door when the door came down suddenly pinning the worker between the top of the gate and the bottom of the door.
FY 2010,01/08/10,01/06/10,"Sierra Tire and Auto, dba Llantera Del Norte Tire Shop Las Vegas, NV 89115",The worker was shot at least once in the chest/abdomen area during a robbery or attempted robbery.
FY 2010,01/08/10,01/07/10,"ABB Inc St. Louis, MO 63120","Worker armed himself with multiple weapons, fatally shooting three workers and self; wounding five other workers."
FY 2010,01/08/10,01/07/10,"Charleston Pine Apartments Las Vegas, NV 89104","Worker, a maintenance worker, was attempting to move a refrigerator down some stairs when he lost his footing and fell backwards, striking his head on the concrete stairs before falling down. The refrigerator fell onto the lower portion of the deceased."
FY 2010,01/08/10,01/07/10,"Typex Masonry Developers Philadelphia, PA 19128",Worker fell from a two-story residence.
FY 2010,01/08/10,01/07/10,"Yakima Forest Products White Swan, WA 98952",Worker had part of an end loader fall on him.
FY 2010,01/08/10,01/08/10,"Atlantic Directional Drilling Lake Mary, FL 32746",Worker was doing a retrofit when the excavated area began to fill with water. Worker was trying to locate the water service that was hit and was electrocuted on 2 large electrical conduits that had not been previously located.
FY 2010,01/08/10,01/09/10,"Enbridge G & P (East Texas) LP Douglasville, TX 75560",Worker was replacing a valve on a waste heat boiler when hydrogen sulfide was released to the atmosphere.
FY 2010,01/08/10,01/09/10,"US Staffing Carol Stream, IL 60188","Worker operating an overhead crane with a pendant was moving sheets of steel. He positioned himself between the load and a metal barrier guard that ran along the aisle or stacks of sheet steel on the opposite side of the aisle. The load struck the other stacks of steel or a metal barrier guard, causing the load to spin, catching the worker between the load and either the stacks of steel or the metal barrier guard."
FY 2010,01/15/10,10/23/09,"Sheridan Excavating, Inc. Sheridan, AR 72150",Worker was unloading pipes and was struck by two pipes that fell from the load.
FY 2010,01/15/10,11/29/09,Pizza by Vito's Indiana 46806,"Worker, a pizza delivery man, was shot fatally during a robbery."
FY 2010,01/15/10,12/29/09,"Peterson Grain Decatur, IN 46733",Worker fell 80 feet in grain silo.
FY 2010,01/15/10,12/31/09,"Hyatt Penns Landing Philadelphia, PA 19106",Worker was in the basement's mechanical rooms and suffered a heart attack.
FY 2010,01/15/10,01/05/10,"Flour Maintenance Service, Inc. Quinton, AL 35130",Worker was using a toga crane hoist. Worker inhaled a chemical (ammonia) that was leaking by the cooling tower.
FY 2010,01/15/10,01/06/10,"Jackson Hole Mountain Resort Teton Village, WY 83025",Worker was working on avalanche control and was buried in 6 feet of snow while setting charges to release the build up of snow to avoid an unplanned avalanche.
FY 2010,01/15/10,01/07/10,"Beta Steel Portage, IN 46388",Worker climbed the roof of the furnace to shut off all water when an explosion happened. The worker fell 12 feet to the floor from the furnace roof. Four (4) other workers were injured.
FY 2010,01/15/10,01/07/10,"CA Justice Eureka, CA 95501","Worker was performing clerical duties at the front office when she started feeling sick and vomited at her desk. She went to the restroom, she was incoherent and became unconscious. (Inspection Planned)"
FY 2010,01/15/10,01/11/10,"Davey Tree Experts Company Tallassee, AL 36078",Worker was chipping brush and was struck by an automobile.
FY 2010,01/15/10,01/11/10,"General Electric Transportation System Erie, PA 16531",Worker was crushed by a locomotive alternator frame that fell off an oven table.
FY 2010,01/15/10,01/11/10,"HIP Inc. Milwaukee, WI 53202","Worker was working on a roof/deck and fell into an elevator shaft, 30-feet."
FY 2010,01/15/10,01/11/10,"Scaffolding Rental and Erection Services, LLC McPherson, KS 67460",Worker was erecting a scaffold and fell 30-feet to the ground.
FY 2010,01/15/10,01/11/10,"Sheridan Production, LLC Big Spring, TX 79720",Workers were replacing a vent line on top of a tank battery. They were exposed to hydrogen sulfide gas. One worker fatality and three workers were hospitalized.
FY 2010,01/15/10,01/13/10,"AT&T Rome, GA 30161",Worker was pulling telephone cable and tightening it up with a winch. He became entangled in the cable.
FY 2010,01/15/10,01/13/10,"Guaranteed Finishing Unlimited, Inc. Cleveland, OH 44111","Worker was taking a dip tank sample by hand with a 8-ounce plastic bottle. The automatic hoisting mechanism struck, caught and crushed him between the frame of the hoist mechanism and the dip tank transfer bar."
FY 2010,01/15/10,01/13/10,"Island Operating Co. Cameron, LA 70631",Workers were on the production platform sleeping when a fire/explosion occurred. They evacuated the platform and were in the water for 1.5-2 hours before being rescued. One worker fatality and two workers were hospitalized.
FY 2010,01/15/10,01/15/10,"Metal-Bilt Ocala, FL 34474",Worker was erecting a steel structure and was struck by a steel I beam.
FY 2010,01/15/10,01/15/10,"Sturgeion Electric Company, Inc. Broomfield, CO 80020",Worker fell off bucket 30-feet striking utility lines during his descent.
FY 2010,01/15/10,01/16/10,"Crete Carrier Inc. Houston, TX 77029",Worker was crushed between his trailer and another trailer that was backing up.
FY 2010,01/22/10,10/30/09,"Amityville UFSD Park Ave Elementary School, Amityville, NY 11701","Worker, a teacher, fell down one flight of stairs from the stairwell landing while escorting students from classroom to lunchroom. Possible heart attack prior to fall. (Inspection planned)"
FY 2010,01/22/10,01/11/10,"Criminal Task Investigation Inc, Caguas, PR 00726","The gate of the entrance came loose and fell over the worker, a security guard, that was opening it."
FY 2010,01/22/10,01/12/10,"Coleman American Moving Services Inc, Jackson, TN 38305","Worker was unloading household goods at a residential site when the loading ramp to the truck allegedly slipped causing the victim to fall and strike the side of the ramp resulting in internal injuries. The worker was admitted to the hospital where he underwent surgery for a lacerated spleen, kidney damage and punctured lung the following day. Prior to discharge from the hospital the worker sustained a massive heart attack."
FY 2010,01/22/10,01/13/10,"Talls Tree Timber Company, Bedford, IN 47421","Worker, a logger, died several hours after removal from frigid water."
FY 2010,01/22/10,01/14/10,"Thiesing Veneer Company, Mooresville, IN 46158","Worker, a crane operator, suffered 3rd degree burns on his legs and back on 1/6/2010 and expired on 1/15/2010."
FY 2010,01/22/10,01/16/10,"Citrus Memorial Health System, Inverness, FL 34452",Worker tripped and fell during a visit to a patient's home.
FY 2010,01/22/10,01/16/10,"Nick Ries Farms, Hastings, MN 55033",Worker was working with a compost machine. His jacket was caught in the machine pulling him in the machine causing asphyxiation and death.
FY 2010,01/22/10,01/16/10,"Speedy Petroleum (Shell), Indianapolis, IN 46222","Worker, a store attendant, was working at convenience store/gasoline station and was shot fatally during robbery."
FY 2010,01/22/10,01/16/10,State of Oregon Department of Transportation,Worker was found deceased in a creek bed. Initial investigation suggests the victim fell 36 feet off a bridge.
FY 2010,01/22/10,01/18/10,"Bao Bui dba Bau Auto Repair, Knoxville, TN 37912","The worker was cleaning the frame of a utility trailer in preparation for painting. The utility trailer was clamped/attached to the forks of a locally manufactured hydraulic lift. The worker raised the lift to its maximum height and while standing under the trailer, continued to hold the hydraulic pump lever in the up position. The hydraulic pressure was too great, a chain link broke, the lift and the 800-pound trailer collapsed on top of the victim."
FY 2010,01/22/10,01/18/10,"Hampton Golf, Inc., Palm Coast, FL 32164",Worker was crushed by a beverage cart that slid off a lift onto him.
FY 2010,01/22/10,01/19/10,"Heinz North America, Chatsworth, CA",Worker was crushed by a lift truck.
FY 2010,01/22/10,01/19/10,"Marathon Petroleum Company, Kenova, WV 25530",Worker fell from the deck of a tug boat transporting coal barges on the river. Worker was swept underneath the vessel by the river current and drowned.
FY 2010,01/22/10,01/19/10,"Stuart's Landscaping, Fond du Lac, WI 54937",Worker was operating a dump truck hauling rock that was being dumped into the lake. The dump truck fell through the ice near the dumping site killing the worker.
FY 2010,01/22/10,01/20/10,"Arena Drilling Co., Andrews, TX 79714",Worker was caught in a block line.
FY 2010,01/22/10,01/21/10,"Color Spot Nurseries, New Summerfield, TX 75780","Worker had entered a soil hopper system while the auger was rotating. Worker's clothes were caught in the rotating auger, pulling the worker's body into the auger."
FY 2010,01/22/10,01/21/10,"Davis Excavation, Inc., McKinney, TX 75069","Worker was in the process of installing the connector pins to secure two trench boxes. A cave-in occurred, knocking the upper trench box off the lower trench box and pinning the worker between the spreader bars of two trench boxes."
FY 2010,01/22/10,01/21/10,"Schneider Electric, El Paso, TX 79912",Worker was testing an electrical panel at 480 Volts and was electrocuted.
FY 2010,01/22/10,01/22/10,"Lyondell Basell, Houston, TX 77017",Worker fell from a tower at a non-operational unit at a refinery complex.
FY 2010,01/22/10,01/23/10,"Bradley Plumbing and Heating, Inc., Tuskegee, AL 36088",Worker was working on a mezzanine to move an air handling unit using a pry bar. Worker lost his footing and fell from an unprotected edge to the floor 20 feet below.
FY 2010,01/29/10,11/12/09,"Clear Creek CBM LLC, Coshen, UT 84633",Individual removed a strap to unload pipe from a semi-trailer and one of the pipes fell onto the individual which resulted in his death. After extensive review it has been determined there was no employer/employee relationship.
FY 2010,01/29/10,01/08/10,"Mechanical Solutions LLC dba Simpson Company, Boulder, CO 80304",Worker fell through a guardrail 8 to 10 feet from mezzanine to lower level.
FY 2010,01/29/10,01/21/10,"Sergio Leon dba Sergio & Ruben, Hot Springs Village, AR 71909",Worker was installing 2 by 6 ceiling joists on a home. One of the joists broke; the worker lost his balance and fell 10 feet to the concrete floor inside.
FY 2010,01/29/10,01/22/10,"American Grading and Land Clearing, Peachtree City, GA",Two workers were performing tree removal. The tree fell on the two workers. One worker fatality and one worker hospitalization.
FY 2010,01/29/10,01/22/10,"Shannon Platt Construction, Centerville, SD 57014",Worker was removing the cone-shaped roof of a grain bin. Worker was working from a basket that was attached lengthwise off of the end of the forks 12 feet and was elevated 35 feet in the air. The forklift tipped over and struck the ground.
FY 2010,01/29/10,01/23/10,"Cooper-Vennette Property Services, Inc., Tampa, FL 33634",Worker was spray painting a building and was found pinned/crushed between the aerial bucket and an awning structure.
FY 2010,01/29/10,01/23/10,"Ethyl Corporation, Pasadena, TX 77503",Worker was collecting a water sample and was found with the upper half of his body in a diked containment area containing 11 inches of rain water.
FY 2010,01/29/10,01/25/10,"H.D. Supply, La Habra, CA","Worker was standing beside his truck preparing to strap down a load of steel sprinkler pipe bundles, when a forklift operator loading bundles on the left side of the truck bed inadvertently knocked a bundle off the truck bed. The bundle struck the driver knocking him to the ground. He was transported to the hospital where he died later from internal injuries."
FY 2010,01/29/10,01/26/10,"Cassens Transport Company, Gaithersburg, Maryland 20878",Worker was struck by passing vehicle while he was delivering cars.
FY 2010,01/29/10,01/26/10,"Lehigh Southwest Cement Co., Tehachapi, CA 93561",Worker was run over by tractor trailer.
FY 2010,01/29/10,01/26/10,"Roy Builders Inc., Lansing, NY 14882",Worker fell from roof elevation.
FY 2010,01/29/10,01/26/10,"Washington Metropolitan Area Transit Authority, Rockville, MD 20805",Two maintenance workers were killed when struck by a rail maintenance vehicle while establishing a work zone.
FY 2010,01/29/10,01/27/10,"Alko Systems, Inc., Marco Island, FL 34145",Worker was installing security cameras and fell from a flat roof 16 feet.
FY 2010,01/29/10,01/28/10,"Max Convenience Stores, LLC, Louisville, KY 40223","Worker was working at 2:47 a.m. in a convenience store, when he was shot during a robbery attempt. He was taken off life support on 1/27/2010."
FY 2010,01/29/10,01/28/10,"Thermal Polymer Systems, LC, Angleton, TX 77515","Workers were coating the interior of a trailer tank; fumes ignited from the trailer tank, causing a flash fire. One worker fatality and two workers were hospitalized."
FY 2010,01/29/10,01/30/10,"Cargill Meat Solutions, Nebraska City, NE 68410",Worker was disassembling storage racks from inside a scissor lift elevated 20 feet and attaching a strap to the rack and slowly leaning it over. The strap caught the lift and tipped over with the rack.
FY 2010,02/05/10,11/14/09,"Manuel Orozco, Bethesda, MD 20817",Worker was standing on a ladder with a chain saw to cut a tree trunk. The chain saw apparently struck the victim 's neck.
FY 2010,02/05/10,11/18/09,"Welty Homes, Inc., Bethesda, MD 20817",Worker either fell from ladder or roof.
FY 2010,02/05/10,12/05/09,"SUNY Binghamton University, Binghamton, NY 13902",A professor was assaulted while providing mentoring services in an assigned office space. Event occurred during normal office hours. Multiple stab injuries to abdomen and torso.
FY 2010,02/05/10,01/07/10,"NYCHA Edenwald Houses, Bronx, NY 10466",Worker of New York City Housing Authority was found dead at his work station in the boiler room. (Inspection planned)
FY 2010,02/05/10,01/18/10,"Cinderella Properties, Auburn, WA 98002",Skull fracture.
FY 2010,02/05/10,01/19/10,"Oak Express, Syracuse, NY  13224","Worker was unloading a trailer, and a box fell on him."
FY 2010,02/05/10,01/20/10,"NYS Police Troop C, Morris, NY",Trooper collided with a westbound tractor trailer.
FY 2010,02/05/10,01/26/10,"NYC Department of Sanitation - Queens West 1, Astoria, NY 11106",Worker was killed after being pinned between a tractor trailer and his garbage truck.
FY 2010,02/05/10,01/29/10,"Capital Trading LLC, West Jordan, UT 84088",Worker was crushed between a delivery truck and the loading dock resulting in serious injuries and his death.
FY 2010,02/05/10,01/29/10,"Integrity Machining Inc., Seattle, WA 98117 ",Worker was struck by a steel shaft being worked on in a lathe.
FY 2010,02/05/10,01/29/10,"Kitchell Contractors, Inc, Phoenix, AZ 85106 ",Worker was run over by a forklift on a construction site and fatally injured.
FY 2010,02/05/10,01/29/10,"Parkdale Mills, Belmont, NC 28502 ",Worker was in the process of unloading a truck when the forklift he was operating overturned.
FY 2010,02/05/10,01/30/10,"Octopus Car Wash, Albuquerque, NM 87113","A car being driven off of the exit-end of the car wash conveyor to the drying area outside of the building accelerated suddenly, striking the worker standing near the auto door to the outside."
FY 2010,02/05/10,01/30/10,"Sturdivant Woodyards, Inc., Sandersville, MS  39477",Worker was found at the log loading site beneath the front right tire of a skidder.
FY 2010,02/05/10,02/02/10,"Manheim's San Francisco Bay Auto Auction, Hayward, CA 94544 ",Worker was found lying dead on roadway adjacent to work. Apparent homicide.
FY 2010,02/05/10,02/02/10,"Martinez Tire Shop, Houston, TX  77013","Worker was inflating a tire that exploded, striking him"
